tox21-esre-bla-p1_summary.csv tox21-nfkb-bla-p1_summary.csv tox21-ror-cho-antagonist-p1_pubchem_summary.csv tox21-rxr-bla-agonist-p1_pubchem_summary.csv tox21-ap1-bla-agonist-p1_pubchem_summary.csv
PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity
144210156,NCGC00260504-01,2,44,,,,active 144210158,NCGC00260506-01,3,30,,,,inconclusive 144212383,NCGC00255699-01,2,81,,,,active 170464671,NCGC00167525-02,2,51,,,,active 144212701,NCGC00255655-01,2,69,,,,active
170465615,NCGC00253588-01,2,44,,,,active 144212701,NCGC00255655-01,3,30,,,,inconclusive 170465409,NCGC00263525-01,2,81,,,,active 144208846,NCGC00259197-01,2,51,,,,active 170466778,NCGC00181330-02,2,69,,,,active
170465580,NCGC00263529-01,2,44,,,,active 170465080,NCGC00016059-13,3,30,,,,inconclusive 170465712,NCGC00013058-02,2,81,,,,active 144211044,NCGC00254633-01,2,51,,,,active 144211734,NCGC00255651-01,2,69,,,,active
144210965,NCGC00254556-01,2,43,,,,active 144208119,NCGC00258475-01,3,30,,,,inconclusive 144211355,NCGC00254940-01,2,80,,,,active 144212593,NCGC00255115-01,2,51,,,,active 144211722,NCGC00255531-01,2,69,,,,active
144208922,NCGC00259273-01,2,43,,,,active 144208094,NCGC00258450-01,3,30,,,,inconclusive 144211896,NCGC00255354-01,2,80,,,,active 144208102,NCGC00258458-01,2,51,,,,active 144206813,NCGC00183009-01,2,68,,,,active
144212493,NCGC00255169-01,2,43,,,,active 144209378,NCGC00259729-01,3,30,,,,inconclusive 144213082,NCGC00256490-01,2,80,,,,active 144209579,NCGC00259930-01,2,51,,,,active 144209785,NCGC00260135-01,2,68,,,,active
144211195,NCGC00254782-01,2,43,,,,active 170466175,NCGC00018223-06,3,30,,,,inconclusive 144207792,NCGC00258148-01,2,79,,,,active 144208807,NCGC00259158-01,2,51,,,,active 170465859,NCGC00018204-13,2,68,,,,active
170465003,NCGC00165740-05,2,43,,,,active 144212285,NCGC00255542-01,3,30,,,,inconclusive 144209427,NCGC00259778-01,2,79,,,,active 144210196,NCGC00260543-01,2,50,,,,active 144207253,NCGC00257609-01,2,68,,,,active
170466326,NCGC00253624-01,2,43,,,,active 170465107,NCGC00015817-14,3,30,,,,inconclusive 144211447,NCGC00255029-01,2,79,,,,active 144210409,NCGC00253921-01,2,50,,,,active 251919707,NCGC00357013-01,2,68,,,,active
144212390,NCGC00255626-01,2,43,,,,active 170465615,NCGC00253588-01,3,30,,,,inconclusive 170466075,NCGC00022391-05,2,79,,,,active 144208823,NCGC00259174-01,2,50,,,,active 144209993,NCGC00260341-01,2,68,,,,active
